Numer of labeled samples:9713   AUC:0.938
Numer of labeled samples:9693   AUC:0.936
Numer of labeled samples:9733   AUC:0.935
Numer of labeled samples:9691   AUC:0.935
Numer of labeled samples:9728   AUC:0.935
Numer of labeled samples:9691   AUC:0.936
Numer of labeled samples:9741   AUC:0.936
Numer of labeled samples:9684   AUC:0.937
Numer of labeled samples:9728   AUC:0.936
Numer of labeled samples:9691   AUC:0.936
Numer of labeled samples:9710   AUC:0.937
Numer of labeled samples:9683   AUC:0.933
Numer of labeled samples:9733   AUC:0.938
Numer of labeled samples:9689   AUC:0.936
Numer of labeled samples:9758   AUC:0.939
Numer of labeled samples:9670   AUC:0.937
Numer of labeled samples:9769   AUC:0.939
Numer of labeled samples:9690   AUC:0.937
Numer of labeled samples:9765   AUC:0.940
Numer of labeled samples:9681   AUC:0.941
Numer of labeled samples:9760   AUC:0.941
Numer of labeled samples:9684   AUC:0.943
Numer of labeled samples:9774   AUC:0.941
Numer of labeled samples:9681   AUC:0.941
Numer of labeled samples:9775   AUC:0.941
Numer of labeled samples:9672   AUC:0.940
Numer of labeled samples:9770   AUC:0.939
Numer of labeled samples:9683   AUC:0.940
Numer of labeled samples:9753   AUC:0.937
Numer of labeled samples:9665   AUC:0.937
Numer of labeled samples:9728   AUC:0.935
Numer of labeled samples:9677   AUC:0.938
Numer of labeled samples:9717   AUC:0.936
Numer of labeled samples:9706   AUC:0.939
Numer of labeled samples:9724   AUC:0.935
Numer of labeled samples:9721   AUC:0.938
Numer of labeled samples:9750   AUC:0.937
Numer of labeled samples:9724   AUC:0.937
Numer of labeled samples:9747   AUC:0.938
Numer of labeled samples:9713   AUC:0.939
Numer of labeled samples:9734   AUC:0.941
Numer of labeled samples:9713   AUC:0.940
Numer of labeled samples:9741   AUC:0.941
Numer of labeled samples:9714   AUC:0.941
Numer of labeled samples:9743   AUC:0.941
Numer of labeled samples:9720   AUC:0.942
Numer of labeled samples:9736   AUC:0.942
Numer of labeled samples:9705   AUC:0.944
Numer of labeled samples:9727   AUC:0.943
Numer of labeled samples:9705   AUC:0.944
Numer of labeled samples:9733   AUC:0.942
Numer of labeled samples:9699   AUC:0.943
Numer of labeled samples:9710   AUC:0.939
Numer of labeled samples:9685   AUC:0.941
Numer of labeled samples:9706   AUC:0.940
Numer of labeled samples:9684   AUC:0.940
Numer of labeled samples:9703   AUC:0.938
Numer of labeled samples:9670   AUC:0.939
Numer of labeled samples:9701   AUC:0.938
Numer of labeled samples:9659   AUC:0.939
Numer of labeled samples:9700   AUC:0.938
Numer of labeled samples:9661   AUC:0.941
Numer of labeled samples:9709   AUC:0.938
Numer of labeled samples:9676   AUC:0.942
Numer of labeled samples:9713   AUC:0.938
Numer of labeled samples:9683   AUC:0.942
Numer of labeled samples:9726   AUC:0.939
Numer of labeled samples:9684   AUC:0.944
Numer of labeled samples:9716   AUC:0.940
Numer of labeled samples:9689   AUC:0.945
